gene_product	ala__L_c	arg__L_c	asn__L_c	asp__L_c	cys__L_c	gln__L_c	glu__L_c	gly_c	his__L_c	ile__L_c	leu__L_c	lys__L_c	met__L_c	phe__L_c	pro__L_c	ser__L_c	thr__L_c	trp__L_c	tyr__L_c	val__L_c
b1113	31	17	15	17	1	12	10	25	7	19	30	13	9	9	27	15	23	3	9	28
b1114	109	93	33	69	7	59	93	66	34	61	140	43	30	46	56	47	58	10	27	67
b1115	27	16	13	5	7	10	8	13	6	25	58	9	9	23	16	31	18	14	17	32
b1116	40	21	16	14	0	25	18	34	1	27	53	10	20	10	21	23	16	6	8	36
b1117	20	15	13	11	2	11	14	20	7	8	36	11	9	7	8	17	9	0	2	13
b1118	38	20	15	18	2	20	13	36	7	38	49	15	14	14	15	29	10	9	12	40
b1119	28	21	7	24	7	11	13	37	8	16	35	6	7	12	17	9	13	3	12	17
b1120	26	24	9	13	4	13	22	21	12	11	28	12	7	13	15	11	9	3	5	21
b1121	28	8	12	8	2	11	8	14	6	24	39	11	6	13	14	15	21	3	9	10
b1122	4	7	6	8	0	2	5	12	5	14	7	10	3	12	8	18	6	4	7	15
b1123	36	8	25	23	0	7	21	23	2	16	31	30	11	9	21	18	19	9	21	18
b1124	21	10	7	8	1	5	4	17	2	21	38	10	14	18	9	24	15	4	9	27
b1125	16	10	9	9	2	2	6	16	2	27	55	12	13	18	15	12	15	6	9	21
b1126	22	25	21	21	3	20	37	23	8	19	40	19	14	16	15	15	17	2	7	34
b1127	33	16	15	26	4	15	32	38	14	26	36	26	15	14	19	14	20	2	11	32
b1128	24	21	14	29	1	17	31	28	14	18	40	9	10	18	32	18	6	9	13	21
b1129	29	32	19	26	2	19	38	23	10	24	68	21	14	13	20	37	25	9	15	42
b1130	15	17	7	19	0	12	17	9	6	15	28	9	7	4	8	13	8	2	7	20
b1131	43	25	19	26	2	17	37	26	14	33	45	26	9	15	17	23	22	7	18	32
b1132	24	13	9	7	2	16	7	16	6	10	35	5	6	3	6	17	12	1	4	14
b1133	28	17	9	26	7	18	31	35	8	20	33	22	6	15	14	13	19	5	13	29
b1134	14	7	4	6	5	9	15	7	6	11	12	5	3	8	10	7	7	5	2	10
b1135	13	23	12	10	0	12	13	15	2	10	21	10	4	7	15	9	17	4	7	13
b1136	38	17	15	25	6	11	35	40	5	37	31	31	13	10	20	13	18	6	15	30
b1137	10	11	11	11	6	4	13	15	5	20	20	20	3	6	4	22	8	1	17	14
b1138	12	7	16	8	3	2	12	6	7	27	28	19	5	22	12	13	7	4	12	12
b1139	19	9	19	11	9	11	26	10	10	23	30	20	2	13	11	29	14	6	9	16
b1140	39	36	13	23	1	20	16	19	10	22	35	27	7	8	12	23	22	7	14	21
b1141	6	7	4	2	1	5	6	3	0	2	12	5	3	1	5	6	4	2	2	5
b1142	9	8	3	5	3	3	2	8	3	4	10	3	2	4	8	6	9	0	0	13
b1143	6	2	6	8	5	7	7	3	2	6	12	8	3	8	4	9	6	0	4	7
b1144	10	7	8	3	2	5	8	5	2	6	13	7	5	2	4	1	7	0	1	6
b1145	11	13	9	17	5	6	12	18	5	21	10	14	8	6	14	12	18	4	7	14
b1146	5	2	1	4	0	3	3	6	0	2	7	9	1	2	3	5	4	1	5	3
b1147	25	7	8	12	3	8	15	12	5	14	13	9	2	5	6	12	5	4	5	15
b1148	9	6	7	3	3	2	6	8	3	3	6	8	3	4	4	14	8	1	3	11
b1149	42	26	21	31	7	13	34	31	9	27	32	21	16	11	18	29	28	10	18	31
b1150	8	2	0	1	1	1	0	8	0	3	12	1	2	2	3	3	1	3	3	6
b1152	26	15	6	17	1	6	15	26	5	17	20	4	4	4	14	19	24	7	9	24
b1153	20	14	8	15	8	7	8	9	2	8	19	4	4	3	14	10	18	6	7	10
b1154	27	7	13	12	3	8	7	24	2	11	17	9	3	8	6	11	18	3	7	13
b1155	11	4	4	12	3	8	10	7	2	9	12	8	3	6	8	9	6	4	3	8
b1156	27	6	6	16	3	6	14	11	4	12	13	10	2	1	10	14	20	4	10	11
b1157	19	9	9	11	2	2	8	19	2	13	10	6	1	10	14	10	13	4	8	8
b1158	14	20	5	9	2	6	12	17	2	10	21	10	5	6	6	9	13	2	3	12
b1159	10	17	17	15	7	8	20	20	8	21	26	18	6	5	13	24	7	3	13	19
b1160	2	0	4	3	5	3	3	6	2	18	7	11	3	4	9	10	6	4	4	3
b1161	8	8	9	7	2	4	7	4	6	10	13	10	2	6	2	6	10	2	8	10
b1164	7	4	4	2	2	4	8	5	4	4	12	5	1	2	0	4	6	0	2	2
b1165	5	8	7	7	0	4	4	4	1	10	7	8	4	4	1	8	5	0	1	2
b1166	7	3	7	7	0	1	6	3	2	8	13	4	3	1	0	8	8	0	2	5
b1167	2	5	4	6	1	4	6	1	3	10	11	3	3	4	1	6	5	0	3	4
b1168	37	26	29	23	6	19	26	29	13	51	61	20	4	23	26	25	26	3	22	38
b1171	16	2	5	6	2	5	7	4	0	7	9	10	6	3	4	6	6	1	2	8
b1172	18	3	5	2	1	0	2	27	0	5	11	12	4	2	1	2	8	0	0	11
b1174	6	6	3	6	1	5	10	1	1	8	12	7	2	2	4	3	3	0	2	6
b1175	23	20	9	21	2	6	21	23	1	22	28	17	6	9	8	14	14	0	5	21
b1176	29	9	8	8	3	11	15	15	7	14	22	12	6	4	16	14	14	2	4	18
b1177	6	6	6	8	6	4	6	14	0	5	8	7	8	7	4	10	5	0	5	7
b1178	9	6	6	9	0	5	5	10	3	7	11	15	1	4	3	14	7	0	10	8
b1179	3	4	2	8	1	8	6	6	1	4	13	14	5	3	9	6	4	0	5	6
b1180	19	6	5	12	3	11	12	19	8	9	22	13	5	8	13	12	16	2	5	19
b1181	10	8	5	12	9	6	15	5	6	7	15	8	6	5	7	7	8	6	3	5
b1182	30	4	13	20	2	16	23	13	1	19	32	32	4	12	4	20	22	2	13	21
b1183	11	4	2	13	1	6	4	8	3	14	13	5	4	7	8	12	7	0	3	14
b1184	36	36	16	26	11	21	21	26	5	20	39	22	12	19	14	27	25	6	12	28
b1185	18	9	1	5	6	9	6	10	2	8	28	6	7	13	10	5	6	7	6	14
b1186	50	18	10	14	5	19	23	33	10	38	83	13	17	35	16	30	30	10	12	47
b1187	22	18	13	9	1	9	18	18	9	18	26	7	3	10	10	12	14	4	8	10
b1188	23	37	27	30	6	24	44	19	16	29	47	23	18	24	23	32	22	12	30	24
b1189	41	29	13	20	6	22	26	42	9	18	43	13	13	12	23	19	29	8	16	30
b1190	42	24	10	16	4	16	19	33	10	21	35	9	12	6	16	16	22	9	9	27
b1191	56	27	17	23	3	18	25	58	5	48	92	11	16	33	26	37	19	9	10	45
b1192	26	19	15	11	5	12	18	28	13	22	41	4	6	12	13	14	21	5	6	13
b1193	26	10	11	9	1	8	9	14	3	13	19	12	7	4	13	15	7	5	7	10
b1194	19	17	7	10	1	18	16	12	6	15	31	12	4	14	13	13	14	3	5	14
b1195	7	4	1	2	1	0	1	16	1	14	11	1	3	7	1	3	2	2	0	7
b1196	9	9	10	6	1	8	13	6	3	10	17	6	3	6	6	15	6	3	3	6
b1197	51	24	30	36	4	36	30	34	10	14	52	32	16	18	42	29	37	16	23	31
b1198	56	19	12	30	8	26	39	22	11	26	62	17	10	9	22	29	28	2	11	33
b1199	22	12	5	11	2	11	13	19	2	11	19	8	10	8	6	21	13	2	3	12
b1200	30	13	13	26	7	16	19	38	9	17	40	14	7	9	15	18	26	4	9	26
b1201	72	42	24	31	10	38	40	40	15	40	82	22	13	23	21	37	42	8	9	30
b1202	79	27	88	58	0	35	21	125	16	59	72	27	22	24	27	94	83	7	37	54
b1203	39	15	19	22	6	11	34	30	4	23	31	25	8	17	16	7	20	1	7	28
b1204	21	11	10	10	1	2	11	21	7	10	21	13	4	11	10	5	10	2	2	12
b1205	6	9	5	3	2	4	1	10	4	3	10	3	4	3	2	5	0	3	4	11
b1206	69	27	11	20	6	14	13	51	10	48	82	12	21	27	30	28	26	7	7	50
b1207	33	25	17	26	4	8	14	20	4	25	26	8	10	11	13	19	14	0	4	34
b1208	26	17	9	16	4	7	20	25	6	12	36	9	6	11	18	15	17	5	5	19
b1209	12	12	11	15	1	19	6	16	1	8	24	12	6	4	14	8	14	5	10	9
b1210	50	30	13	25	3	25	34	18	9	24	52	18	10	7	10	32	18	4	6	30
b1211	37	32	8	26	3	25	37	23	11	18	32	13	11	8	12	21	16	2	7	18
b1212	29	21	5	18	5	22	21	18	9	18	33	1	4	9	14	13	13	4	6	14
b1213	12	7	0	2	0	6	1	6	4	14	24	5	3	7	6	8	8	3	4	10
b1214	20	14	12	19	5	11	28	10	5	19	44	9	6	10	13	16	3	5	7	13
b1215	26	10	10	19	4	13	15	25	6	16	23	22	10	16	15	14	8	0	4	28
b1216	44	7	12	10	1	10	10	22	12	27	61	8	14	20	13	30	21	3	7	34
b1217	9	3	1	10	0	2	6	1	5	1	2	12	1	1	3	6	2	3	4	4
b1218	24	14	6	12	6	8	17	20	3	9	32	6	7	9	12	9	17	6	5	9
b1219	9	5	5	5	2	7	7	10	0	8	18	5	3	3	4	7	8	1	2	8
b1220	32	26	37	25	0	33	27	41	9	9	51	12	7	19	23	29	26	14	15	29
b1221	19	13	8	14	0	7	18	11	6	12	31	14	10	2	9	12	11	1	1	17
b1222	54	47	21	28	11	49	40	30	16	22	84	15	19	13	20	38	34	7	8	42
b1223	53	17	10	12	5	16	7	48	3	31	51	14	16	45	20	40	25	11	7	32
b1225	37	30	23	31	17	19	37	36	9	29	40	35	15	18	33	23	23	9	22	26
b1226	31	13	4	19	1	18	19	11	8	10	35	8	4	8	9	11	8	2	7	10
b1227	17	12	3	6	2	9	4	21	9	15	33	6	12	18	7	13	9	6	8	15
b1228	14	10	3	3	3	2	5	10	0	2	11	1	1	5	3	11	1	1	1	4
b1229	3	9	0	1	1	3	2	2	0	0	0	0	1	1	2	3	1	0	0	0
b1232	22	22	15	19	3	8	17	16	13	23	27	11	8	11	10	8	13	0	11	23
b1233	13	8	3	7	11	6	9	15	5	5	9	8	4	9	8	9	6	4	6	7
b1234	32	23	12	16	5	9	17	22	8	24	34	7	8	6	12	20	15	7	4	20
b1235	32	20	19	18	6	22	18	23	7	12	60	9	9	9	14	13	11	4	6	25
b1236	27	8	8	17	5	9	26	21	9	21	27	21	12	5	18	12	14	2	7	33
b1238	14	15	6	11	6	15	15	13	5	9	21	8	4	8	3	16	7	1	12	16
b1241	121	32	34	50	9	24	54	62	20	60	72	65	21	31	41	50	49	5	28	63
b1242	17	8	7	4	2	6	5	20	1	27	26	7	8	18	8	14	13	4	4	16
b1243	46	18	34	35	2	17	30	29	11	25	45	41	10	12	32	30	41	13	28	44
b1244	31	13	9	8	1	4	6	24	5	31	41	12	14	18	18	18	14	3	12	24
b1245	23	15	8	14	1	6	12	26	3	17	44	7	15	21	9	29	9	5	5	33
b1246	30	20	15	13	6	12	25	22	6	16	40	13	21	12	23	15	19	0	6	23
b1247	22	20	8	15	7	13	23	24	10	23	40	19	10	8	24	16	13	4	7	28
b1248	9	5	6	16	2	3	14	4	3	6	15	2	2	8	3	1	2	2	1	5
b1249	51	35	12	26	5	16	22	31	10	37	60	16	24	18	21	25	19	13	15	30
b1250	31	12	24	24	3	8	13	24	11	40	58	20	11	29	9	40	23	4	8	25
b1251	16	4	1	7	0	3	6	6	3	2	10	5	2	4	6	6	3	1	4	9
b1252	21	14	7	6	1	12	18	9	2	11	13	18	4	5	40	13	14	2	3	26
b1253	13	7	4	6	3	4	7	12	2	7	8	7	5	3	7	5	9	2	3	18
b1254	16	4	5	4	1	6	4	7	2	16	26	12	5	18	6	5	9	7	8	18
b1255	28	9	8	5	1	14	2	15	1	23	45	3	11	13	9	23	11	2	3	21
b1256	23	8	9	13	0	5	5	25	6	6	19	7	7	14	6	13	20	5	8	13
b1257	16	8	7	10	1	9	17	7	4	18	12	10	7	4	4	15	8	2	4	5
b1258	23	6	9	6	1	6	23	4	5	11	18	17	4	2	0	8	11	0	4	8
b1259	6	4	4	3	0	4	4	14	2	0	0	7	1	2	1	7	0	0	0	0
b1260	40	11	9	13	3	12	17	19	4	20	27	13	5	12	19	11	9	0	7	17
b1261	41	18	14	17	5	16	30	43	14	23	39	18	15	13	18	18	23	1	12	19
b1262	59	23	18	29	7	29	23	31	11	25	49	18	6	16	14	25	14	3	16	37
b1263	66	25	23	21	5	27	29	46	22	27	66	14	13	15	29	31	25	1	13	33
b1264	53	40	17	35	12	21	35	29	11	17	67	15	12	20	28	36	25	0	14	33
b1265	1	1	0	0	0	0	0	1	0	1	1	2	1	1	0	1	1	2	0	1
b1266	35	18	8	10	6	19	22	21	17	16	28	9	5	6	13	13	17	8	5	17
b1267	7	13	9	13	3	9	14	15	3	14	21	12	7	8	14	10	13	0	6	15
b1268	42	41	25	34	10	22	26	59	14	43	78	22	10	36	29	36	27	16	28	33
b1269	18	38	11	14	3	9	24	30	4	14	28	15	3	5	12	15	12	4	6	26
b1271	23	17	12	14	4	20	10	20	3	10	27	8	11	6	13	13	16	4	7	14
b1272	36	23	12	16	1	21	29	21	8	16	35	29	12	10	8	17	13	5	7	30
b1273	6	3	4	5	0	3	8	5	4	4	9	6	2	4	2	2	8	0	2	6
b1274	76	62	34	49	14	30	73	56	12	31	63	70	24	29	45	48	50	10	29	60
b1275	30	20	8	19	1	12	17	18	12	24	27	15	7	13	15	19	24	2	12	29
b1276	77	51	33	57	7	27	55	78	18	43	84	43	25	23	50	51	54	13	29	73
b1277	17	11	11	11	4	7	16	17	8	9	27	9	4	7	6	3	10	1	5	13
b1278	29	18	3	3	2	11	15	15	6	16	32	10	5	11	13	10	15	17	2	21
b1279	13	6	3	2	1	5	4	5	1	7	17	4	1	6	2	6	4	2	3	10
b1280	42	31	9	25	6	27	30	21	8	14	48	19	17	11	5	18	18	5	15	20
b1281	33	15	5	18	3	13	9	16	4	8	23	9	9	11	12	15	14	1	3	24
b1282	8	7	1	9	3	3	6	15	0	5	11	14	2	0	3	6	5	0	1	9
b1283	12	2	2	2	1	1	0	13	1	3	7	4	3	1	0	6	7	1	0	6
b1284	16	13	8	14	3	13	16	15	7	18	23	13	8	8	5	22	18	1	5	23
b1285	55	51	30	37	8	32	44	35	16	40	73	24	10	30	19	50	33	10	15	49
b1286	70	50	18	50	7	21	52	37	16	40	59	32	15	29	31	21	32	9	11	44
b1287	33	23	14	16	8	22	24	14	10	22	47	11	3	11	18	35	27	9	11	17
b1288	36	12	10	14	4	5	15	25	5	16	22	12	10	12	7	20	9	1	7	20
b1289	5	16	7	8	3	5	8	4	2	5	13	4	1	5	3	10	4	4	3	7
b1290	16	23	5	13	0	16	17	17	9	20	35	11	13	8	12	18	15	2	6	12
b1291	22	28	14	15	8	16	20	19	9	22	37	16	12	8	20	16	20	7	6	15
b1292	38	13	4	13	3	4	9	29	4	19	46	3	10	12	15	19	14	7	10	24
b1293	27	16	10	9	3	8	9	20	7	34	47	6	12	19	16	19	18	12	6	23
b1294	55	37	24	36	4	30	24	25	11	18	63	22	10	23	34	42	24	11	19	35
b1295	11	3	6	4	1	3	14	2	3	6	7	1	3	3	4	1	3	1	3	2
b1296	42	15	17	13	2	9	10	32	9	28	60	16	12	36	23	31	28	11	16	51
b1297	38	29	27	29	8	23	43	32	14	17	53	13	17	18	26	19	15	3	15	33
b1298	21	13	12	7	5	13	24	19	12	15	34	6	4	5	20	15	4	3	5	17
b1299	10	7	7	6	1	13	15	17	6	16	16	7	4	5	9	18	15	0	4	9
b1300	67	26	20	29	4	17	30	40	12	26	54	23	8	17	20	32	25	9	8	28
b1301	37	32	17	26	7	12	24	43	9	19	45	15	10	12	15	21	25	2	26	29
b1302	61	16	17	20	4	21	21	39	11	26	34	17	12	19	22	19	21	0	12	29
b1303	25	25	12	16	3	17	30	20	7	14	49	13	8	14	18	14	13	2	9	16
b1304	28	19	6	16	0	17	28	4	3	10	27	19	8	6	1	14	7	1	0	8
b1305	7	8	2	3	0	5	6	1	2	5	12	1	2	3	3	7	1	3	1	2
b1306	9	10	4	6	1	4	7	6	0	7	17	3	5	8	5	8	5	1	3	10
b1307	12	7	2	0	0	4	1	6	0	1	12	8	2	1	4	2	2	2	2	5
b1308	11	3	4	4	1	6	8	8	3	6	8	10	3	3	5	3	3	1	3	11
b1309	34	29	32	35	7	25	32	25	26	37	62	22	10	25	25	38	32	12	19	32
b1310	40	9	23	22	2	18	32	28	4	26	32	31	15	12	17	29	32	6	10	42
b1311	26	14	15	9	0	3	6	15	2	20	44	8	10	23	12	19	15	9	14	29
b1312	23	10	8	8	2	4	7	16	2	24	35	8	16	25	12	21	20	3	12	24
b1313	37	20	16	22	8	11	20	32	5	23	18	16	8	17	18	17	13	4	12	33
b1314	21	19	13	19	2	11	20	22	8	18	25	10	7	11	9	6	11	3	11	16
b1315	37	16	13	18	9	19	21	27	12	17	30	13	14	13	13	19	19	4	11	26
b1316	80	46	26	42	11	52	50	51	28	39	75	19	16	26	24	47	42	20	23	38
b1317	27	11	8	11	3	15	11	18	4	17	29	6	2	9	8	17	8	3	2	10
b1319	20	16	21	27	3	9	23	28	7	7	22	8	8	18	9	12	16	10	22	15
b1320	34	11	12	17	3	18	20	17	9	26	29	19	6	10	16	29	21	1	9	25
b1321	42	34	17	32	4	26	19	33	12	18	62	19	13	24	27	20	19	10	11	23
b1322	43	31	8	19	3	24	22	28	6	16	41	13	10	10	13	16	14	10	5	21
b1323	43	37	22	30	6	25	39	30	11	21	68	20	15	19	25	26	22	3	13	38
b1324	22	5	10	10	3	9	7	10	1	10	15	7	1	10	6	10	12	0	2	18
b1325	43	17	7	16	7	15	24	19	5	15	42	11	9	6	17	16	21	5	3	23
b1326	25	16	10	10	7	5	18	17	9	8	27	4	2	8	20	18	13	7	4	14
b1327	36	13	16	16	1	13	19	22	5	22	16	12	8	7	15	24	20	3	22	16
b1328	26	29	4	20	0	8	16	19	9	25	35	10	10	8	14	20	17	1	9	19
b1329	51	17	35	26	2	27	27	28	8	27	47	39	8	18	34	28	41	13	21	40
b1330	21	19	17	14	3	12	12	24	4	45	32	15	10	24	10	21	22	5	11	22
b1331	28	26	15	14	1	22	23	16	14	17	32	19	15	14	12	16	17	6	7	12
b1332	7	1	1	0	0	3	4	7	0	10	10	5	4	6	2	7	5	1	4	8
b1333	26	13	13	19	2	17	26	17	14	23	31	14	9	7	20	8	14	5	10	28
b1334	16	17	9	13	5	15	16	22	6	23	27	14	9	11	7	16	14	0	5	5
b1335	12	15	5	4	3	7	14	19	4	10	20	5	4	3	9	6	10	4	7	10
b1336	49	14	14	11	2	11	10	40	9	46	72	13	22	36	35	40	17	8	12	47
b1337	63	19	24	20	9	26	30	37	16	22	37	15	9	21	21	25	38	8	12	29
b1338	66	23	12	21	3	26	26	43	19	12	32	7	13	20	14	23	26	6	7	37
b1339	23	20	4	10	5	29	20	20	8	20	32	11	10	14	14	25	12	1	10	14
b1340	15	17	7	14	3	14	8	10	8	7	22	10	3	7	8	9	8	3	4	10
b1341	31	25	16	22	5	18	28	23	19	26	52	19	10	15	16	24	24	3	13	21
b1342	23	27	9	29	6	13	15	27	7	18	42	6	13	9	14	15	16	8	5	25
b1343	56	26	13	29	9	28	17	33	10	25	58	21	9	13	22	24	27	4	3	30
b1344	15	19	17	19	8	18	25	21	6	21	32	21	11	11	16	11	12	2	9	17
b1345	25	34	22	11	6	13	27	26	11	28	39	32	12	16	14	23	31	8	16	17
b1346	3	5	4	2	1	4	5	6	1	6	4	5	3	4	3	3	1	3	4	4
b1347	3	3	4	0	2	2	7	4	0	4	5	11	2	1	1	8	6	1	3	2
b1348	3	5	6	1	5	0	4	9	1	1	1	5	1	1	3	4	4	1	4	5
b1349	25	17	11	12	2	12	21	18	5	18	21	18	9	8	14	20	13	2	5	18
b1350	75	37	39	63	14	32	84	54	24	42	61	45	18	26	55	49	57	12	27	52
b1351	5	1	5	5	1	0	9	7	2	8	7	11	3	2	3	1	9	0	2	10
b1352	4	6	3	4	1	1	3	5	3	7	5	6	2	3	3	2	7	1	3	4
b1353	8	11	7	3	2	5	9	3	4	14	21	11	4	15	7	12	8	3	6	9
b1355	4	2	3	3	2	4	2	1	1	2	3	1	3	0	0	2	1	2	3	5
b1356	14	6	7	10	0	4	11	9	3	12	12	16	3	4	8	14	7	4	5	9
b1357	8	8	5	4	5	6	6	5	1	3	7	6	3	2	5	11	2	2	2	7
b1358	17	9	4	7	1	8	11	9	7	11	15	9	1	3	4	6	5	3	3	7
b1359	25	22	13	15	1	14	22	15	6	13	28	18	5	11	17	14	15	6	7	18
b1360	17	21	16	10	4	15	18	18	5	13	22	13	9	6	6	14	13	5	4	19
b1361	24	8	7	7	3	7	15	9	1	11	16	12	4	4	10	15	17	3	2	11
b1362	18	11	2	9	2	7	7	3	1	2	9	5	3	1	1	3	6	0	3	6
b1363	27	17	13	16	10	7	9	42	10	46	63	14	14	46	13	44	31	10	17	36
b1365	6	4	2	3	0	6	8	5	3	6	8	6	4	1	4	6	4	1	2	8
b1366	11	7	5	10	0	7	10	6	2	8	12	10	2	1	2	9	3	2	4	8
b1368	52	17	12	13	1	28	31	21	3	14	31	25	14	9	9	21	21	0	4	16
b1370	28	25	16	14	1	23	22	16	12	17	32	20	15	14	12	15	19	6	7	12
b1372	222	43	54	49	6	27	50	86	21	33	46	56	15	25	29	156	106	8	32	56
b1373	20	7	10	11	0	5	21	10	4	12	17	8	3	7	13	11	12	6	4	10
b1374	15	20	4	7	4	11	15	14	3	18	17	12	5	7	6	13	14	0	1	10
b1375	4	3	6	5	0	4	4	4	0	6	10	9	2	1	3	3	5	2	1	5
b1376	15	7	2	9	1	2	13	3	7	14	15	9	3	2	8	11	6	0	4	13
b1377	42	11	33	37	0	14	12	43	5	9	27	17	9	19	5	21	24	5	27	17
b1378	133	62	46	62	19	56	76	78	27	56	117	48	25	39	67	71	63	14	37	78
b1379	13	3	10	5	3	6	9	9	2	4	17	11	10	4	5	10	10	0	1	8
b1380	30	14	18	18	6	11	25	23	7	14	38	19	10	18	9	16	19	0	11	23
b1381	65	41	41	55	4	50	35	80	13	33	127	37	17	26	54	52	49	32	12	56
b1382	5	2	2	3	1	0	7	1	1	8	7	5	3	2	3	3	4	0	0	4
b1383	13	5	5	5	1	6	6	8	0	3	13	11	2	3	1	4	6	1	4	11
b1384	20	25	9	17	5	24	20	17	7	13	32	10	8	15	11	21	16	6	7	18
b1385	57	26	15	24	8	25	29	44	8	22	47	16	10	15	27	31	32	11	9	43
b1386	62	28	39	58	0	28	39	57	20	44	49	50	23	26	48	29	51	17	27	62
b1387	88	36	12	30	10	35	43	61	18	34	65	27	16	26	35	37	40	8	9	51
b1388	32	23	12	17	5	21	24	20	8	18	21	14	12	11	12	12	14	10	9	14
b1389	8	8	2	4	1	2	10	6	5	4	4	3	3	4	5	8	3	2	5	8
b1390	30	17	11	14	2	16	21	19	5	11	34	6	5	10	7	8	12	6	6	8
b1391	13	10	2	7	8	6	10	10	6	11	12	2	5	5	16	8	16	4	4	10
b1392	35	25	6	22	9	21	22	26	6	17	36	15	11	13	15	21	23	0	12	21
b1393	41	16	11	9	3	19	14	17	2	9	39	8	6	8	8	15	13	1	2	14
b1394	32	19	10	16	5	13	13	24	4	9	34	9	8	9	11	10	15	3	3	15
b1395	60	29	12	19	6	23	35	33	8	29	51	17	10	10	20	24	26	7	12	44
b1396	21	4	5	7	4	11	4	14	6	8	8	5	5	6	1	7	12	1	3	8
b1397	59	32	15	20	6	15	24	41	7	24	43	8	14	10	18	20	17	1	2	25
b1398	26	34	12	27	8	17	30	36	14	25	41	17	14	13	22	23	32	4	12	30
b1399	33	22	6	11	4	15	23	22	8	15	49	12	3	15	14	23	11	7	7	16
b1400	15	10	8	9	3	9	14	20	7	15	14	10	5	5	11	7	6	1	4	23
b1402	26	37	14	18	9	7	19	19	9	11	28	9	7	8	13	19	14	7	8	19
b1403	15	8	1	2	0	10	12	9	2	5	13	10	4	2	5	5	5	2	2	9
b1404	22	47	20	12	3	12	24	22	13	22	40	28	6	10	16	27	30	6	8	15
b1406	31	14	12	16	1	11	15	23	10	16	34	6	8	7	15	20	16	2	6	23
b1407	67	43	53	56	5	36	42	30	8	47	97	40	24	26	35	53	27	15	17	47
b1408	20	8	9	4	4	8	5	10	3	17	44	3	8	10	8	11	11	6	5	7
b1409	19	12	6	7	7	4	7	29	4	28	55	10	8	21	13	16	18	10	7	17
b1410	53	45	18	35	2	27	26	46	21	29	63	21	12	25	29	41	21	9	21	41
b1411	27	29	7	13	13	17	17	29	11	24	63	10	14	23	23	22	21	21	13	33
b1412	24	7	6	13	0	7	11	14	3	15	19	11	3	8	10	15	11	1	7	16
b1413	94	108	43	83	9	69	102	71	29	86	144	79	24	42	63	64	54	20	34	82
b1414	26	17	11	18	3	15	11	16	10	24	21	3	6	10	17	13	18	6	6	15
b1415	59	25	20	22	3	20	39	42	5	36	33	22	15	17	21	20	19	7	14	40
b1418	14	11	7	3	2	1	5	9	8	13	26	7	11	10	12	9	5	4	8	11
b1419	5	1	2	2	4	0	0	8	1	3	4	7	2	3	1	7	4	0	1	2
b1420	6	2	2	3	0	2	2	5	3	3	4	2	1	0	6	5	3	0	4	2
b1421	81	36	20	19	1	37	41	33	12	41	42	18	19	14	10	46	34	1	7	34
b1422	24	19	11	9	3	19	18	25	9	14	43	9	7	9	17	21	21	2	3	24
b1423	38	38	16	19	6	36	43	26	14	21	47	7	11	21	23	18	26	3	11	23
b1424	50	37	15	43	8	27	25	39	12	27	35	23	20	34	31	32	32	14	23	24
b1426	2	6	4	5	0	4	8	3	2	3	8	10	4	3	2	4	0	0	2	4
b1427	11	8	11	8	3	16	14	9	6	14	18	10	4	7	4	10	6	3	6	11
b1428	31	17	14	20	5	16	23	29	14	32	20	7	2	8	5	17	15	5	12	34
b1429	35	13	7	6	3	10	9	31	6	16	53	5	10	25	15	25	18	11	7	25
b1430	15	14	15	14	3	2	13	13	3	10	19	13	6	8	5	5	13	2	10	14
b1431	18	8	10	14	2	9	10	14	1	11	16	18	7	8	12	13	22	2	8	19
b1432	37	35	23	10	9	33	17	25	7	12	29	33	10	15	15	29	16	8	12	27
b1433	64	11	6	8	4	11	4	36	4	32	56	4	12	18	18	24	26	8	10	35
b1434	12	8	5	6	3	13	11	12	7	10	15	4	4	8	10	17	13	3	4	13
b1435	63	39	30	42	9	28	38	43	25	37	65	37	12	23	29	32	33	4	20	44
b1436	8	5	1	3	1	4	8	5	5	0	8	5	2	4	1	5	2	2	1	6
b1438	16	4	4	6	0	6	12	5	4	7	19	7	4	7	9	7	8	0	3	10
b1439	49	31	13	19	4	34	27	23	9	23	61	20	10	15	28	31	19	10	16	26
b1440	34	11	14	20	5	19	17	31	6	15	25	26	11	13	26	20	29	14	16	29
b1441	27	21	13	15	2	21	21	31	5	12	38	14	13	16	16	20	15	2	6	29
b1442	36	10	8	7	0	10	3	26	2	19	52	6	14	25	22	15	18	8	13	19
b1443	34	13	10	8	1	5	7	18	4	14	44	4	4	20	12	12	20	8	2	24
b1444	58	18	15	23	7	13	33	45	14	22	42	26	10	13	21	24	25	6	15	44
b1445	7	2	0	1	0	1	0	1	2	3	9	2	4	8	2	5	2	2	2	4
b1446	9	7	1	6	0	4	9	3	6	6	8	3	3	0	0	4	4	0	1	3
b1447	14	6	4	1	1	6	1	16	1	14	24	1	5	10	3	13	8	4	1	16
b1448	18	11	5	12	2	9	9	14	8	8	14	5	4	8	4	9	9	4	5	14
b1449	22	19	9	25	5	15	19	42	9	15	31	16	8	9	22	16	13	5	12	33
b1450	21	13	12	5	3	16	21	10	7	15	35	11	9	2	9	6	6	1	7	12
b1451	51	44	41	46	2	35	33	72	8	28	51	22	19	19	30	56	51	13	37	42
